Polish sentence	English meaning	Frequency
Pamiętam, że wysłałem ten list.	I remember mailing the letter.	[ 946 10 1719 23 191 ]
Dobrze Cię widzieć.	Nice to see you.	[ 80 26 1630 ]
Dobrze Cię widzieć.	Good to see you.	[ 80 26 1630 ]
On zarabia trzy razy więcej ode mnie.	He earns three times more than I do.	[ 65 2011 100 1456 113 292 14 ]
On zarabia trzy razy więcej ode mnie.	He earns three times more than me.	[ 65 2011 100 1456 113 292 14 ]
Kto pójdzie z nami?	Who will come with us?	[ 337 1499 8 471 ]
Potrafię biegać szybciej niż Ken.	I can run faster than Ken.	[ 565 636 1035 66 592 ]
Kobiety uwielbiają herbatę.	The women like tea.	[ 808 613 316 ]
Ann bardzo lubi muzykę.	Ann likes music very much.	[ 1671 15 35 597 ]
Mój młodszy brat jest wyższy ode mnie.	My younger brother is taller than me.	[ 41 907 209 1 2594 292 14 ]
Życie nie jest łatwe.	Life's not easy.	[ 228 5 1 2085 ]
Biorę prysznic prawie każdego dnia.	I take a shower almost every day.	[ 1216 1066 129 208 281 ]
Chodzę na zakupy co drugi dzień.	I go shopping every other day.	[ 467 4 838 22 1786 363 ]
To twoja wina.	This is your fault.	[ 6 105 1632 ]
Wróci za kilka minut.	He'll be back in a few minutes.	[ 788 11 123 1403 ]
Jak się czujesz ?	How do you feel?	[ 20 2 2305 ]
Nie było go w szkole przez tydzień.	He was absent from school for a week.	[ 5 36 21 3 3385 48 577 ]
Czy pamiętasz co ona powiedziała?	Do you remember what she said?	[ 67 1117 22 125 1583 ]
On czasami ogląda telewizję.	He sometimes watches TV.	[ 65 639 530 1099 ]
Czy kochasz muzykę.	Do you love music?	[ 67 1086 597 ]
Oni jedzą teraz śniadanie.	They are having breakfast now.	[ 1658 189 63 424 ]
Kim uśmiechnęła się uroczo.	Kim smiled sweetly.	[ 234 595 2 1504 ]
Ona dała mu sweter.	She gave him a sweater.	[ 125 697 44 1469 ]
Bardziej lubię ryż niż chleb.	I like rice more than I like bread.	[ 213 47 975 66 1618 ]
Idę spać.	I'm going to sleep now.	[ 733 435 ]
Idę spać.	I'm going to bed.	[ 733 435 ]
Oni są tutaj.	They are here.	[ 1658 17 78 ]
Mój przyjaciel czuje się bardzo źle.	My friend feels very ill.	[ 41 929 1028 2 15 1492 ]
Muszę dzisiaj oddać swój raport.	I have to turn in my report today.	[ 162 76 1081 58 1546 ]
Kiedy zamierzasz wyjechać?	When are you going to leave?	[ 155 352 1247 ]
Miał siwe włosy.	He had grey hair.	[ 150 1178 426 ]
Miał siwe włosy.	He had gray hair.	[ 150 1178 426 ]
Jeśli nie możesz mieć dzieci, zawsze możesz adoptować.	If you can't have children, you could always adopt.	[ 178 5 104 166 204 79 104 3841 ]
Nikt inny nie potrafi.	Nobody else can.	[ 1018 396 5 922 ]
Dawno temu był sobie młody człowiek.	A long time ago, there was a young man.	[ 1790 397 28 71 990 237 ]
Wielki Brat cię obserwuje.	Big Brother is watching you.	[ 487 209 26 1621 ]
Brakuje nam pieniędzy.	We are short of money.	[ 1125 186 448 ]
Nie mogę tak dalej postępować.	I can't keep doing this.	[ 5 24 54 704 2148 ]
Czekam na telefon od niego.	I'm waiting for his telephone call.	[ 1694 4 1046 29 163 ]
Ona łatwo zmienia zdanie.	It appears that she might change her mind.	[ 125 223 1438 563 ]
Dam ci pięć dolarów.	I'll give you five dollars.	[ 757 18 157 1417 ]
Są duże szanse na sukces.	There is every promise of success.	[ 17 608 1251 4 1059 ]
Je teraz obiad.	He is having lunch.	[ 187 63 1514 ]
Jest żonaty, ma dwoje dzieci.	He is married with two children.	[ 1 1515 12 1209 204 ]
Byłem zadowolony z wiadomości.	I was glad at the news.	[ 124 1356 8 866 ]
W tym zdaniu jest błąd.	There is an error in this sentence.	[ 3 46 1820 1 1073 ]
W tym zdaniu jest błąd.	There is a mistake in this sentence.	[ 3 46 1820 1 1073 ]
Czas na obiad.	It's time for lunch.	[ 248 4 1514 ]
Czas na obiad!	It’s lunchtime!	[ 248 4 1514 ]
Czy mogę zostawić mój numer telefonu?	May I leave my phone number?	[ 67 24 441 41 278 2682 ]
Przynieś mi, proszę, dzisiejszą gazetę.	Bring me today's paper, please.	[ 1379 9 216 516 825 ]
Czy wiesz dokąd idziemy?	Do you know where we're going?	[ 67 497 564 1231 ]
Ten lek działa natychmiast.	This medication works instantly.	[ 23 1510 519 310 ]
Wyszedł aby się przejść.	He's out taking a walk.	[ 854 288 2 1219 ]
Czy mogę zapytać o twoje imię?	May I ask your name?	[ 67 24 3098 13 91 253 ]
To zajmie tylko kilka minut.	It only takes a few minutes.	[ 6 1373 52 123 1403 ]
Nigdy nie grałem w golfa.	I've never played golf.	[ 295 5 1047 3 1607 ]
Kupił jej sweter.	He bought her a sweater.	[ 273 33 1469 ]
Gdzie są chłopcy?	Where are the boys?	[ 84 17 1674 ]
Pan Smith przyszedł.	Mr. Smith came.	[ 55 1176 545 ]
Nie daj się zabić.	Don't get yourself killed.	[ 5 525 2 1836 ]
Minęło dziesięć lat od kiedy umarł.	Ten years have passed since he died.	[ 1520 132 456 29 155 1261 ]
Jest za głośno.	It's too loud.	[ 1 11 1765 ]
Potrzebuję małej pomocy od Ciebie.	I need a little help from you.	[ 368 1772 719 29 75 ]
Jeden jest stary, a drugi nowy.	One is new, and the other is old.	[ 948 1 415 307 1786 99 ]
Na wzgórzu jest dom.	There is a house on the hill.	[ 4 2264 1 103 ]
Kochają się.	They love each other.	[ 1185 2 ]
Według niego, tak.	According to him, yes.	[ 1565 163 54 ]
Chciałbym zarezerwować jedno miejsce.	I'd like to reserve a seat.	[ 469 749 826 333 ]
Możesz tu wpisać swoje nazwisko?	Can you write your name here?	[ 104 32 1824 57 956 ]
Dobrze Ciebie widzieć.	Good to see you.	[ 80 75 1630 ]
Poszła po zakupy.	She has gone shopping.	[ 932 16 838 ]
Nie rozumiem co się ze mną dzieje.	I don't understand what's happening to me.	[ 5 173 22 2 45 298 3623 ]
Gdzie jest najbliższy sklep?	Where is the nearest shop?	[ 84 1 635 1662 ]
Gdzie jest najbliższy sklep?	Where is the nearest store?	[ 84 1 635 1662 ]
Dom to coś więcej niż sam budynek.	A home is more than a mere building.	[ 103 6 38 113 66 225 3618 ]
Miałeś mnóstwo czasu.	You had plenty of time.	[ 978 260 549 ]
Powiedz, co widzisz.	Tell me what you see.	[ 587 22 1179 ]
Więcej tam nie pójdę.	I will go there no more.	[ 113 40 5 2228 ]
Dlatego jest zły.	That's why he got angry.	[ 1489 1 300 ]
Chciałbym spać nieco dłużej.	I want to sleep a little longer.	[ 469 435 912 571 ]
Czy pan już czytał dzisiejszą gazetę?	Have you read today's paper yet?	[ 67 55 25 2095 516 825 ]
Znałem już ją, kiedy byłem mały.	I've known her since I was little.	[ 2886 25 68 155 124 327 ]
Zobaczę co mogę zrobić, by pomóc.	I'm going to see what I can do to help.	[ 2912 22 24 169 121 341 ]
Nie przerywaj gry.	Don't stop playing.	[ 5 621 1169 ]
Mogę zadać pytanie?	May I ask a question?	[ 24 740 1032 ]
Nie bądź rozczarowany.	Don't be disappointed.	[ 5 244 1548 ]
Nikt mu nie wierzy.	Nobody believes in him.	[ 1018 44 5 1329 ]
Klucz jest na stole.	The key is on the table.	[ 1534 1 4 859 ]
Na nikogo nie czekam.	I'm not waiting for anyone.	[ 4 695 5 1694 ]
Spieszę się.	I'm in a hurry.	[ 1198 2 ]
Jestem taki szczęśliwy.	I'm so happy.	[ 30 167 1603 ]
Trzymaj słownik przy sobie.	Keep the dictionary by you.	[ 1633 527 170 71 ]
Ja to powiedziałem.	I said that.	[ 206 6 1589 ]
Z przyjemnością oglądałem wczoraj telewizję.	I enjoyed watching TV yesterday.	[ 8 712 1123 60 1099 ]
Powinieneś wiedzieć lepiej.	You should know better.	[ 158 1087 557 ]
On nie ma szans ze swoim przeciwnikiem.	He doesn't stand a chance against his opponent.	[ 65 5 12 1549 45 211 2319 ]
On wskoczył do wody.	He jumped into the water.	[ 65 1420 7 913 ]
Tylko oglądam.	I'm just looking.	[ 52 1151 ]
Ręce do góry.	Raise your hands.	[ 421 7 1378 ]
Ręce do góry.	Put your hands up.	[ 421 7 1378 ]
Chciała cię spotkać.	She wanted to meet you.	[ 743 26 1039 ]
Zapłaciłem pięć dolarów za książkę.	I paid five dollars for the book.	[ 1288 157 1417 11 141 ]
Kupiłem wczoraj czerwony samochód.	Yesterday, I bought a red car.	[ 767 60 1463 122 ]
Dopiero wczoraj usłyszałem o wypadku.	It was not until yesterday that I heard about the accident.	[ 1228 60 653 13 1061 ]
Idź prosto wzdłuż tej ulicy.	Go straight along this street.	[ 611 511 770 82 1048 ]
O której otwierają bank?	What time does the bank open?	[ 13 188 626 1591 ]
Pozwól mi pomóc.	Let me help.	[ 1464 9 341 ]
Jestem Ci wdzięczny za zaproszenie mnie na przyjęcie.	I am grateful to you for inviting me to the party.	[ 30 18 722 11 656 14 4 3383 ]
Miała długie blond włosy.	She had long blond hair.	[ 233 323 1441 426 ]
Kupiłem nowy telewizor.	I bought a new television.	[ 767 99 952 ]
Musimy pojechać troszkę na około.	We need to make a slight detour.	[ 828 394 1553 4 255 ]
Proszę, przynieś mi gazetę.	Bring me the newspaper, please.	[ 216 1379 9 825 ]
Śnieg dzisiaj pada.	It's snowing today.	[ 1433 76 315 ]
Dzisiaj pada śnieg.	It's snowing today.	[ 76 315 1433 ]
Dzisiaj pada śnieg.	Today it is snowing.	[ 76 315 1433 ]
Dzisiaj pada śnieg.	Today it's snowing.	[ 76 315 1433 ]
Dzisiaj pada śnieg.	It is snowing today.	[ 76 315 1433 ]
Proszę poczekać pięć minut.	Please wait for five minutes.	[ 216 662 157 1403 ]
Proszę poczekać pięć minut.	Please wait five minutes.	[ 216 662 157 1403 ]
Czy mógłbym skorzystać z twojego telefonu?	Might I use your phone?	[ 67 193 575 8 133 2682 ]
On zarabia dwa razy tyle co ja.	He earns double my salary	[ 65 2011 109 1456 400 22 206 ]
Szkoła zaczyna się jutro.	School begins tomorrow.	[ 1822 510 2 106 ]
Nie został ani jeden.	There was nothing left over.	[ 5 144 1344 948 ]
Proszę wejść!	Come in please!	[ 216 1005 ]
Wystarczy moja odpowiedź.	My answer is enough.	[ 895 96 841 ]
Jest tak piękne jak róża.	It's as lovely as a rose.	[ 1 54 522 20 2458 ]
Widziałeś tam kogoś?	Did you see anybody there?	[ 1014 40 780 ]
Na urodziny kupię Ci rower.	I will get you a bicycle for your birthday.	[ 4 1701 985 18 350 ]
To było dość śmieszne.	It was fairly funny.	[ 6 36 268 2137 ]
Z jakiego kraju jesteś?	Which country are you from?	[ 8 940 1452 49 ]
Ktoś cię obserwuje.	Someone is watching you.	[ 190 26 1621 ]
Nie widział nikogo.	He didn't see anybody.	[ 5 1140 695 ]
Robisz się czerwony.	You're turning red.	[ 375 2 1463 ]
Chcę się bawić.	I want to have fun.	[ 77 2 1766 ]
Jeśli potrzebujesz mojej pomocy, wystarczy poprosić.	If you need my help, all you have to do is ask.	[ 178 262 116 719 895 1521 ]
Byłem nią rozczarowany.	I was disappointed in her.	[ 124 174 1548 ]
On rozmawia przez telefon.	He is talking on the telephone.	[ 65 1306 48 1046 ]
To Twój parasol?	Is this your umbrella?	[ 6 39 1805 ]
Słuchasz go?	Are you listening to him?	[ 1213 21 ]
To mój parasol.	That's my umbrella.	[ 6 41 1805 ]
Miał złamane serce.	He was heartbroken.	[ 150 1203 500 ]
Ona nie lubi swojego męża.	She disliked her husband.	[ 125 5 35 97 2827 ]
Czy ktoś tu mówi po japońsku?	Does anyone here speak Japanese?	[ 67 190 32 73 16 3330 ]
Mieliśmy wiele deszczu tego lata.	We have had much rain this summer.	[ 1690 107 718 19 558 ]
O której tu przyjechałeś?	What time did you arrive there?	[ 13 188 32 2242 ]
Weź ile tylko chcesz.	Take as much as you like.	[ 1916 433 52 74 ]
Każdego ranka jem śniadanie.	I eat breakfast every morning.	[ 208 1475 369 424 ]
Czy umiesz przeczytać pismo japońskie?	Can you read this kanji?	[ 67 285 508 1587 648 ]
Wybacz, czy mówisz po angielsku?	Pardon me, do you speak English?	[ 2060 67 251 16 701 ]
Muszę przygotować śniadanie dla nich.	I must prepare their breakfast.	[ 162 1050 424 31 1429 ]
On jest mały i słaby.	He is small and weak.	[ 65 1 327 27 2676 ]
Pokażesz mi, co wczoraj kupiłeś?	Will you show me what you bought yesterday?	[ 2417 9 22 60 589 ]
Źle czuję się.	I feel unwell.	[ 1492 366 2 ]
Czuję się źle.	I feel unwell.	[ 366 2 1492 ]
Zawsze się do mnie uśmiecha.	She always smiles at me.	[ 79 2 7 14 3001 ]
On jest właścicielem tej ziemi.	He is the owner of this land.	[ 65 1 1665 82 1290 ]
Czasami myję naczynia dla mamy.	I sometimes do the dishes for my mother.	[ 639 707 1577 31 153 ]
On nie ma już siły.	He has no more strength.	[ 65 5 12 25 3000 ]
Za późno.	Too late.	[ 11 1232 ]
Bardziej boję się ich niż ciebie.	I'm more afraid of them than I am of you.	[ 213 3283 2 93 66 75 ]
Nie mam ani czasu, ani pieniędzy.	I have neither time nor money.	[ 5 43 1344 549 1344 448 ]
Nie mam ani czasu, ani pieniędzy.	I don't have the time or the money.	[ 5 43 1344 549 1344 448 ]
Zjadłem już kolację.	I have already finished dinner.	[ 479 25 1363 ]
Co bym zrobił, gdybyś umarł?!	What would I do if you died?!	[ 22 275 831 724 1261 ]
Tutaj jest kot pod łóżkiem.	There is a cat under the bed.	[ 78 1 574 114 2347 ]
On nie ufa mi całkowicie.	He doesn't altogether trust me.	[ 65 5 1752 9 1287 ]
Nie doceniasz go.	You are selling him short.	[ 5 1845 21 ]
Zadzwonię dziś później do ciebie.	I'll call you later today.	[ 2519 69 450 7 75 ]
Mieszkam sam w tym domu.	I live alone in this house.	[ 2591 225 3 46 256 ]
Musisz ciężej studiować.	You must study hard.	[ 171 1085 617 ]
Masz dobrą pamięć.	You have a good memory.	[ 37 238 1598 ]
Nie żyją.	They are dead.	[ 5 1244 ]
Znalazł mój rower.	He found my bike.	[ 1484 41 350 ]
Zamknął za sobą drzwi.	He shut the door behind him.	[ 1177 11 878 434 ]
Jak śmiesz tak mówić.	How dare you say such a thing!	[ 20 2321 54 110 ]
Mój dziadek lubi spacerować.	My grandfather likes to walk.	[ 41 392 35 2038 ]
Potrzebuję czegoś do jedzenia.	I need to get something to eat.	[ 368 410 7 1721 ]
Wróciła do domu bardzo późno.	She came home very late.	[ 1623 7 256 15 1232 ]
Czy mogę użyć twojego telefonu?	May I use your phone?	[ 67 24 230 133 2682 ]
Twoja odpowiedź jest zła.	Your answer is wrong.	[ 105 841 1 1562 ]
Graliśmy wczoraj w koszykówkę.	We played basketball yesterday.	[ 665 60 3 1781 ]
Późno już.	It's already late.	[ 1232 25 ]
Od dziecka jadłem japońskie jedzenie.	I grew up eating Japanese food.	[ 29 1730 540 648 199 ]
On jeździ do szkoły rowerem.	He goes to school by bicycle.	[ 65 214 7 232 2629 ]
On z trudem zapamiętuje nazwiska.	He is weak on names.	[ 65 8 578 735 1762 ]
On z trudem zapamiętuje nazwiska.	He has a hard time remembering names.	[ 65 8 578 735 1762 ]
On z trudem zapamiętuje nazwiska.	He's not good at remembering names.	[ 65 8 578 735 1762 ]
On z trudem zapamiętuje nazwiska.	He has trouble remembering names.	[ 65 8 578 735 1762 ]
Nie rozśmieszaj mnie.	Don't make me laugh.	[ 5 1870 14 ]
Przynieś mi coś do jedzenia.	Bring me something to eat.	[ 1379 9 38 7 1721 ]
Dzieci uwielbiają śpiewać.	Children love to sing.	[ 204 613 1077 ]
Będziemy razem na zawsze.	We will be together forever.	[ 1554 890 4 79 ]
Idź dalej beze mnie.	Go on without me.	[ 611 704 1201 14 ]
Nie chcę mięsa.	I don't want meat.	[ 5 77 1817 ]
O! To okropne.	Oh! That's too bad.	[ 13 6 1880 ]
Ona czyta chiński.	She reads Chinese.	[ 125 312 1462 ]
Czy ona gra na fortepianie?	Does she play piano?	[ 67 125 148 4 2822 ]
Zatrzymał się, by włożyć buty.	He stopped to put on his shoes.	[ 800 2 121 1754 494 ]
Potrafisz zrozumieć?	Can you understand?	[ 884 385 ]
On lubi zwierzęta.	He loves animals.	[ 65 35 1804 ]
Jestem mężczyzną.	I'm a man.	[ 30 1241 ]
Nie podoba mi się jej twarz.	I don't like her face.	[ 5 1740 9 2 33 2025 ]
Mój starszy brat zarządza tą firmą.	My older brother manages that company.	[ 41 1036 209 898 149 1482 ]
Pojechał do szkoły samochodem.	He drove to school.	[ 1361 7 232 944 ]
Pojechał do szkoły samochodem.	He went to school by car.	[ 1361 7 232 944 ]
Jak dotąd nie było problemów.	There have been no problems so far.	[ 20 1519 5 36 1600 ]
Wydaje się, że mamy już lato.	It seems like summer is finally here.	[ 552 2 10 153 25 3074 ]
Próbował rozwiązać ten problem.	He tried to solve the problem.	[ 1644 544 23 336 ]
Ten ząb mnie boli.	That tooth hurts.	[ 23 1161 14 1351 ]
Wiadro było pełne wody.	The bucket was full of water.	[ 1096 36 507 913 ]
Moje serce boli.	My heart is hurting.	[ 64 500 1351 ]
Co byś zrobił, gdybym umarł?!	What would you do if I died?!	[ 22 197 831 883 1261 ]
Mógłbyś mi pomóc pozmywać?	Could you help me wash the dishes?	[ 289 9 341 1919 ]
Czy ktoś z państwa był na Hawajach?	Has anybody here been to Hawaii?	[ 67 190 8 2553 28 4 1627 ]
Nie lubimy deszczu.	We don't like rain.	[ 5 1200 718 ]
Podoba Ci się muzyka?	Do you like music?	[ 1740 18 2 804 ]
Czy mógłbyś zamknąć okno?	would you be so kind to close the window?	[ 67 289 485 1723 ]
Miałem nadzieję spotkać tam Ciebie.	I had hoped to meet you there.	[ 372 1680 1039 40 75 ]
Zamknij oczy.	Close your eyes.	[ 491 792 ]
Połowa pracy za nami.	The job is half done.	[ 1791 294 11 471 ]
Nie mogę spać z powodu hałasu.	I can't sleep because of the noise.	[ 5 24 435 8 461 2919 ]
Zostanę tutaj przez parę dni.	I'm going to stay here for several days.	[ 2295 78 48 339 451 ]
Wysłałem ci list.	I sent you a letter.	[ 1719 18 191 ]
Nie winię ciebie.	I don't blame you.	[ 5 1849 75 ]
Chcę, żebyś zaśpiewał piosenkę.	I want you to sing a song.	[ 77 184 1352 960 ]
Nie zostawiaj otwartych drzwi.	Don't leave the door open.	[ 5 857 1279 434 ]
Bierz to lekarstwo co godzinę.	Take the medicine every hour.	[ 1619 6 686 22 889 ]
Mój przyjaciel ma siedemnaście lat.	My friend is seventeen.	[ 41 929 12 1785 456 ]
Myślisz, że nie wiem, co się dzieje?	Do you think I don't know what's happening?	[ 698 10 5 154 22 2 3623 ]
Mam wolne dziś wieczór.	I'm free tonight.	[ 43 1257 69 1212 ]
Oczywiście możesz zrobić, co chcesz.	You can do whatever you want to do, of course.	[ 2860 104 169 22 74 ]
Czy mogę wejść do środka?	Let me step inside.	[ 67 24 1005 7 2128 ]
Czy mogę wejść do środka?	Can I come in?	[ 67 24 1005 7 2128 ]
Ona nie żyje.	She is dead.	[ 125 5 1809 ]
Bądź miły dla Ann.	Be nice to Ann.	[ 244 641 31 1671 ]
Robię się głodny.	I'm getting hungry.	[ 1083 2 856 ]
Zawsze chciałem pojechać do Bostonu.	I've always wanted to go to Boston.	[ 79 139 394 7 2616 ]
Zawsze chciałem pojechać do Bostonu.	I've always wanted to visit Boston.	[ 79 139 394 7 2616 ]
Chcę ci coś pokazać w moim biurze.	I want to show you something in my office.	[ 77 18 38 1034 3 102 3260 ]
Tyle wystarczy.	That will do.	[ 400 895 ]
Jestem leniwy.	I am lazy.	[ 30 1265 ]
Czy to jeszcze długo potrwa?	Will it be much longer?	[ 67 6 56 112 2997 ]
Nie każdy może być poetą.	Not everybody can be a poet.	[ 5 379 53 50 2754 ]
Osiągnęli swój cel.	They attained their aim.	[ 1459 58 431 ]
Swój cel osiągnęli.	They achieved their goal.	[ 58 431 1459 ]
Dyrektor naszej szkoły jest bardzo stary.	Our school's principal is very old.	[ 2557 678 232 1 15 415 ]
Czas upłynął bardzo szybko.	Time has passed very fast.	[ 248 2235 15 101 ]
Jest bardzo wietrznie.	It's really windy.	[ 1 15 1935 ]
Kiedy zacznie się gra?	What time will the game start?	[ 155 2297 2 148 ]
Godzinę temu wyszła ze szpitala.	She left the hospital an hour ago.	[ 889 397 384 45 1538 ]
Kocham cię takim jakim jesteś.	I love you just as you are.	[ 820 26 1749 609 49 ]
Chciałbym zagrać w golfa.	I'd like to play a game of golf.	[ 469 524 3 1607 ]
